Country Name,Year,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",FDI
Belgium,2023,4.267436011574152,4.189795067314174,4.184378931460418,4.162437852881493,1.3964673926673579,2.1731540273887227,4.20006112206934,2.5658460158646195,2.84298120958708,4.09435315757557,5.716849047814561,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,60.80137120845838
Bosnia and Herzegovina,2021,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2021,4.306077206931333,4.215854985523038,3.9197736543021735,3.843611882579433,0.8567814516451746,2.281238761007713,4.320254686279001,2.4265677788228017,3.360321688639895,4.005258150404969,5.677508786507332,6.812550953979721,4.071611734794018,3.529075770284782,3.712903298269079,59.15684246145009
Bosnia and Herzegovina,2022,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2022,4.306077206931333,4.215854985523038,3.820138732000872,3.7408557016498687,1.0955947886638377,2.272950252522921,4.223552479550063,1.6892869358466245,3.342512460505532,4.09435315757557,5.692753343366347,6.889219754708911,3.9210523049160178,3.395447459449998,3.639141274750644,58.21683910516002
Bosnia and Herzegovina,2023,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2023,4.267436011574152,4.189795067314174,3.807497127728277,3.723279146879848,1.3964673926673579,2.1731540273887227,4.210584215052831,2.0230602702977016,3.33334784500144,4.09435315757557,5.702373646547531,6.937132465448944,3.999266767780342,3.464564877735565,3.67672556872098,58.96656436889936
Brazil,2021,,,,,,,,,,,,,,,,
Brazil,2021,4.361844725546949,4.33779883867674,4.167929312638015,4.167929311073373,1.8698801199906117,2.1545489838789,4.563157975936645,2.483960037842494,2.815977103892056,4.475139085057404,6.40150983861064,6.491657121888757,3.8349223486293873,4.365778298046669,5.058338943034099,65.72896443736116
Brazil,2022,,,,,,,,,,,,,,,,
Brazil,2022,4.239748677276883,4.146253214804603,4.192994048584756,4.192994045858762,1.632153727694177,2.153784019644436,4.570948138328707,2.522500123111185,2.779085254830719,4.09435315757557,6.443106766848097,6.566492191531029,3.65754519777804,4.130463920349247,5.000085294016062,63.74863849496298
Brazil,2023,,,,,,,,,,,,,,,,
Brazil,2023,4.267436011574152,4.189795067314174,4.20718477567384,4.207184773179828,1.3964673926673579,2.1731540273887227,4.63174752948046,2.6616120979079643,2.747485928138286,4.09435315757557,6.447970497831349,6.652190340190008,3.999266767780342,3.464564877735565,3.67672556872098,62.31454450980961
Bulgaria,2021,,,,,,,,,,,,,,,,
Bulgaria,2021,4.361037420992799,4.23682277467755,3.820778262308046,3.8197616355072657,0.8295260396753161,2.385719463248442,4.429250764187456,2.350158774109165,4.053939680895365,4.419345491675005,5.902451813033509,7.04190816494564,2.972016200641943,-1.076230232224699,0.5279809750910516,54.201248965462845
Bulgaria,2022,,,,,,,,,,,,,,,,
Bulgaria,2022,4.239748677276883,4.146253214804603,3.749421547779121,3.748514001493583,1.098024771136559,2.2755595211662785,4.367876363465565,2.556202743834453,4.302445098383017,4.09435315757557,5.828550931796001,7.062852410644319,2.823316906224564,-0.9323798862783428,0.8212726665489126,53.832105039640965
Bulgaria,2023,,,,,,,,,,,,,,,,
Bulgaria,2023,4.267436011574152,4.189795067314174,3.760459026094777,3.7595294099679895,1.3964673926673579,2.1731540273887227,4.356152219260197,2.14648502323868,4.449589261441735,4.09435315757557,5.825778363076915,7.065285505831627,3.999266767780342,3.464564877735565,3.67672556872098,61.12474615674605
Canada,2021,,,,,,,,,,,,,,,,
