Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.L1.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP",DP.DOD.DSTC.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, National Currency",DP.DOD.DSTC.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, US$",DP.DOD.DSTC.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DSCD.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, National Currency",DP.DOD.DSCD.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, US$",DP.DOD.DSCD.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP",DP.DOD.DSDS.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",DP.DOD.DSIN.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DSIN.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DSIN.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP",DP.DOD.DSLO.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, National Currency",DP.DOD.DSLO.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, US$",DP.DOD.DSLO.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP",DP.DOD.DSOA.CR.BC.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, National Currency",DP.DOD.DSOA.CR.BC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, US$",DP.DOD.DSOA.CR.BC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP",DP.DOD.DECD.CR.CG.Z1,38.9236957683415,37.7994226224531,37.9416308405687,37.539282292781,37.0069341216679,36.1042060304564,35.1970761773038,34.9219584844428,34.9536029299831,34.7111529015539,33.6040445992401,32.1559822090422
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.CG,657235940829.049,672594359208.322,690037743459.907,700735870138.798,713866413478.624,717677680075.256,727287057191.613,750731651400.992,766316839776.962,780569933306.226,774906811283.691,762066542927.68
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.CG.CD,6264759706.69192,6523708624.71699,6584957948.84919,6577209218.49819,6532452539.15286,6283292593.89998,6119369433.66944,7012906598.79488,7371266254.10699,7952826625.63657,7712050039.55508,8112269221.65364
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP",DP.DOD.DECN.CR.CG.Z1,35.7481974707226,34.7063034581698,34.6759524979473,33.5138565108647,32.6398243871601,31.6659377543554,30.7703003010746,30.724895662749,30.7943757916581,30.8576118105744,29.5354331177342,28.2704410107236
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.CG,603616890272.855,617556097829.687,630645427829.687,625594310000,629624553475.006,629453995630.934,635815345630.934,660505672105.827,675130652105.827,693913108022.732,681084928022.732,669982870000
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.CG.CD,5753664000.31317,5989874857.70792,6018183298.30792,5871919560.72836,5761571682.60438,5510891224.2246,5349729454.19381,6170066997.71908,6494138631.26036,7069924686.93565,6778313172.13075,7132029959.55691
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP",DP.DOD.DECX.CR.CG.Z1,31.0538421381175,28.7919966878155,27.6798236757683,31.3328832800618,30.2394076835861,28.7264986940071,26.9562337916677,24.6517947440008,23.5765679184011,23.9918159548404,22.8963257392512,21.5219383639978
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.CG,524351574307.664,512318263588.139,503408067746.331,584882658596.639,583320343096.463,571023966626.176,557004219570.745,529949733100.065,516888661126.207,539517953577.585,527987597335.739,510049702712.625
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.CG.CD,4998108610.3104,4969139317.05275,4803970490.94695,5489794054.78354,5337850870.20922,4999334325.21604,4686615225.66887,4950487931.80818,4971995586.05432,5496871661.51388,5254653477.84506,5429526519.99825
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP",DP.DOD.DECF.CR.CG.Z1,34.2293404357365,31.8851158520987,30.9455020183898,35.3583090619782,34.6065174180938,33.1647669701082,31.383009667897,28.8488575656947,27.735795056726,27.8453570458197,26.9649372207571,25.4074795623164
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.CG,577970624863.858,567356524966.774,562800383376.552,660024218735.437,667562203100.081,659247651070.499,648475931131.424,620175712395.229,608074848797.342,626174778861.078,621809480596.698,602133375640.305
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.CG.CD,5509204316.68914,5502973084.06182,5370745141.48823,6195083712.55338,6108731726.7577,5771735694.89143,5456255205.1445,5793327532.88397,5849123208.90095,6379773600.21478,6188390345.26939,6409765782.09498
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, % of GDP",DP.DOD.DECT.CR.CG.Z1,69.9775379064589,66.5914193102685,65.6214545163372,68.872165572843,67.2463418052541,64.8307047244634,62.1533099689716,59.5737532284438,58.5301708483842,58.7029688563941,56.5003703384913,53.6779205730398
