Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",Prediction
0.20985381,-0.006559401,-0.570731,-0.11262348,-2.292519,-0.26416007,0.4951127,0.007353143,0.059678823,-0.0038473462,0.10149137,-0.02117442,-0.52087253,-0.30581716,-0.20403959,53.698086
0.16004978,-0.052702427,2.6069336,-0.11703931,-0.33972347,-0.005766362,0.7982483,0.098854825,0.05855216,-0.001219162,-1.28578,0.02807904,0.08356402,0.4842178,0.083144896,59.72637
0.5351578,-0.006376303,-1.1441749,-0.10779063,-0.12090903,0.00775217,-1.6765754,-0.15289617,0.2662922,-0.000993503,0.22382082,0.6494657,0.09391356,0.6994079,0.06392815,56.456966
1.1525271,0.18953635,3.490094,0.90729946,-0.310283,0.44417757,1.559091,-0.0135376295,-0.61649364,0.0007416834,0.28657767,0.08599042,0.25096756,1.6570903,0.03814404,66.24884
-1.7210075,-0.006376303,-4.9525723,-0.27699968,-2.1797564,0.42605752,-1.7515683,0.21457961,-1.4438759,0.012040596,-0.8197137,-0.2781517,0.20514081,0.72930133,0.028075233,45.312103
0.5344179,-0.006559401,-0.30303997,-0.10274131,-0.1446672,0.0016775762,-1.6606952,-0.16681139,0.27929395,-0.0009948842,0.17914893,0.19657119,0.121421404,0.81419885,0.052773196,56.920944
0.23083289,-0.050030287,2.185369,-0.13646209,0.017023098,0.0027093024,1.3300366,0.1309052,0.054186758,0.0017219023,0.56457144,-0.4246778,0.055512108,2.0737739,0.9176541,64.080086
-0.10354591,-0.014443261,3.088308,0.6189079,0.9045837,-0.60086286,0.757499,0.17621224,-0.589906,-0.0020373517,0.02375111,0.015361287,0.062356398,0.4423731,-0.030823011,61.874714
0.4136465,-0.006559401,0.104548775,-0.11124569,-0.2209015,0.004089917,0.62724733,0.2748072,0.36313656,-0.0007618328,0.13844346,0.03056052,0.12987459,0.46704587,0.081718735,59.422592
-0.0087782005,-0.015418363,1.1458365,-0.16183117,-2.850975,-0.60913587,0.49857783,0.007341598,0.05812632,-0.004001345,0.12623474,-0.019202176,-0.6512705,-1.6143402,-0.35910448,52.669018
1.1353167,0.19069454,3.3914623,0.67230004,3.25526,-0.48518237,1.7815624,0.07828038,0.17690785,-0.0005913181,0.08263917,0.0083339065,0.2904436,0.33820525,-0.15440549,67.8882
1.3419917,-0.012459493,-1.829001,-0.12072661,-0.25654,-0.08905735,0.781622,0.12351801,-0.8071282,0.0024749308,0.0463628,0.10442526,0.11736536,0.38019687,0.10402626,57.014038
0.5280417,-0.012642591,-1.218562,-0.069854416,-0.22723846,0.003695932,0.6990869,0.004938354,0.61736935,-0.0010925583,0.3080507,0.10886571,0.11618692,0.44457412,0.117481805,58.54585
1.2104409,0.06286347,3.2514777,0.8952505,3.3979783,1.0122473,0.8718122,0.2505149,0.25476873,0.03702603,0.067135274,0.04395264,0.32289264,0.42318285,0.049532086,69.27805
0.081672445,-0.015235263,3.0444674,0.11392724,-0.30883193,-0.0027760044,0.833533,0.3129893,-0.80238885,-0.00066114706,0.07571529,0.015239532,0.044483066,0.46547574,0.044859715,61.02943
0.9350046,0.18953635,2.8642063,-0.08647169,-1.1584691,-0.051985793,0.92581064,0.12677702,-0.8527177,0.0003234673,0.042704932,-0.0036814304,0.060840763,0.4483215,0.056202427,60.623367
