Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Brazil,2021,1.2904492808032562,4.33779883867674,4.503708507839047,4.343925616046772,-0.2233216140000439,4.490690117872608,4.5632144956851866,4.225838441065631,4.436895281269991,3.912645233989557,4.768851245681425,3.3066818638712534,58.31090363444081
Brazil,2022,1.2904492808032562,4.146253214804603,4.503708507839047,4.350946829265544,-0.2233216140000439,4.490690117872608,4.567865137991193,4.249887292033837,4.437668161671668,3.8959645245885866,4.568141227800334,3.1216445312858943,59.80847665857232
Brazil,2023,1.2904492808032562,4.189795067314174,4.520470705025596,4.268685704379358,-0.2233216140000439,4.490690117872608,4.567865137991193,4.262444603933691,4.430623698940526,3.8959645245885866,4.142131924039544,3.1216445312858943,60.78453558236207
Bulgaria,2021,1.2904492808032562,4.23682277467755,4.525345621415629,4.265126581452403,-0.6948672334338909,4.464572606707027,4.486761089793335,4.201285177972425,4.384690906302208,3.6160065104620966,2.180059276300842,1.7468596656256514,58.186249873467744
Bulgaria,2022,1.2904492808032562,4.146253214804603,4.526317643555721,4.272231716315988,-0.6948672334338909,4.464572606707027,4.489565479992447,4.240634942855975,4.384807478546046,3.6160065104620966,2.2837388334592723,1.7468596656256514,59.18775270604192
Bulgaria,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.6948672334338909,4.463036562993165,4.489565479992447,4.26064463587267,4.430623698940526,3.6160065104620966,1.780333829303916,1.7468596656256514,60.7381654159658
Canada,2021,1.2904492808032562,4.524080520675882,4.530195927798776,4.530195927798776,-0.1054002017288398,4.464572606707027,4.493640531886939,4.332308590822679,4.516440659609206,3.4950523895136545,2.6143204865440173,2.886126718541812,70.07208686271265
Canada,2022,1.2904492808032562,4.524080520675882,4.530195927798776,4.530195927798776,-0.1054002017288398,4.464572606707027,4.490806801029332,4.329076145703312,4.516438618948734,3.492108663266857,2.6820073290065607,2.8612400934348163,69.90247011514828
Canada,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.1054002017288398,4.463036562993165,4.490806801029332,4.333849831359989,4.430623698940526,3.492163258139891,2.462967195874403,2.858936242195275,69.37294294609448
Colombia,2021,1.2904492808032562,3.8114180866073,4.530195927798776,4.136321059180745,-0.2233216140000439,4.500719879266091,4.5910119486857,4.221313333828104,4.468998903404843,3.952246216673937,4.902469433322195,3.610997915515573,58.12922880067094
Colombia,2022,1.2904492808032562,3.8114180866073,4.530195927798776,4.163615767887205,-0.2233216140000439,4.500719879266091,4.575834838366406,4.270844331811863,4.477809552139118,3.946940832685776,4.238527813496959,3.5049623028558106,60.5773444963011
Colombia,2023,1.2904492808032562,4.189795067314174,4.478514577736145,4.268685704379358,-0.3571300238567617,4.500719879266091,4.575834838366406,4.28614331146475,4.430623698940526,3.946940832685776,4.018685621865908,3.5049623028558106,58.998909018350055
Costa Rica,2021,1.2904492808032562,3.989098189141475,4.530195927798776,4.419019665287327,-0.1054002017288398,4.464572606707027,4.612246070073992,4.290188096434567,4.51273201772869,3.8322108448281,3.733465817149108,2.6487517022372145,65.35204783210555
